Item,respondent_nation,complainant_nation,case_status,year_claim_initiated,year_claim_resolved,means_of_resolution,respondent_type,complainant_type,respondent_nation_economy,complainant_nation_economy,provenience_nation
"1,000 Thai Ban Chiang Artifacts",United States,Thailand,Object(s) not relinquished,2008,,Inquiry/Demand,Private: Institution,Public: Government,Developed,Developing,Thailand
Cambodian Angkor Watt 7 Bas-Reliefs,France,Cambodia,Object(s) relinquished,1923,1923,Litigation,Private: Individual,Public: Government,Developed,In Transition,Cambodia
43 Cambodian Sandstone Artifacts,Thailand,Cambodia,Object(s) not relinquished,2001,,Private Negotiation,Public: Government,Public: Government,In Transition,In Transition,Cambodia
Cambodian Angkor Watt Apsara Head Fragment,United States,Cambodia,Object(s) relinquished,2007,2007,Sua sponte donation,Public: Government,Public: Government,Developed,In Transition,Cambodia
Nigerian Esie Statue,France,Nigeria,Object(s) relinquished,2011,2013,Inquiry/Demand,Public: Government,Public: Government,Developed,In Transition,
5 Nigerian Nok Terracottas,France,Nigeria,Object(s) relinquished,2010,2013,Sua sponte donation,Public: Government,Public: Government,Developed,In Transition,Nigeria
Nigerian Ife Bronze Heads,France,Nigeria,Object(s) relinquished,2009,2009,Sua sponte donation,Public: Institution,Public: Government,Developed,In Transition,Nigeria
Algerian Roman Gorgon Mask,Tunisia,Algeria,Object(s) relinquished,2011,2014,Litigation,Public: Institution,Public: Government,In Transition,In Transition,Algeria
"33 Thai Ban Chiang Group Vessels, Bronze Bracelets, Bells And Ladles",United States,Thailand,Object(s) not relinquished,2008,,Inquiry/Demand,Private: Institution,Public: Government,Developed,In Transition,Thailand
Thai Ban Chiang Ceramic Artifacts,United States,Thailand,Object(s) not relinquished,2008,,Inquiry/Demand,Private: Institution,Public: Government,Developed,In Transition,Thailand
Cambodian Angkor Head Of Demona,United States,Cambodia,Object(s) relinquished,2002,2002,Sua sponte donation,Private: Institution,Public: Government,Developed,In Transition,Cambodia
2 Afghan Ai Khanoum Rare Coins,United States,Afghanistan,Object(s) relinquished,1988,2005,Inquiry/Demand,Private: Individual,Public: Government,Developed,In Transition,Afghanistan
Korean Hojo Currency Plate From Deoksu Palace,United States,South Korea,Object(s) relinquished,2013,2013,Sua sponte donation,Private: Individual,Public: Government,Developed,Developed,South Korea
Chinese Han Dynasty Ceremaic Figurines From Xi'an Tomb,United States,China,Object(s) relinquished,2003,2003,Sua sponte donation,Public: Government,Public: Government,Developed,In Transition,China
"Chinese Yuanmingyuan Bronze Heads Of Monkey, Ox And Tiger",United States,China,Object(s) relinquished,2000,2000,Private Negotiation,Private: Company,Public: Government,Developed,In Transition,China
Chinese Yuanmingyuan Porcelain Qing Dynasty Vase,United States,China,Object(s) relinquished,2000,2000,Private Negotiation,Private: Company,Public: Government,Developed,In Transition,China
Cambodian Lokesvara Bas-relief,Thailand,Cambodia,Object(s) relinquished,1999,1999,Sua sponte donation,Public: Government,Public: Government,In Transition,In Transition,Cambodia
Cambodian Angkor Head Of Shiva,United States,Cambodia,Object(s) relinquished,2002,2002,Sua sponte donation,Private: Institution,Public: Government,Developed,In Transition,Cambodia
Peruvian Burial Textiles,Sweden,Peru,Object(s) relinquished,2014,2014,Sua sponte donation,Public: Institution,Public: Government,Developed,In Transition,Peru
Egyptian Tetiky Tomb Wall Paintings,France,Egypt,Object(s) relinquished,2008,2009,Private Negotiation,Public: Institution,Public: Government,Developed,In Transition,Egypt
Cambodian Angkor 10 Kilogram Animal Stone Head,Thailand,Cambodia,Object(s) relinquished,2002,2002,Private Negotiation,Public: Government,Public: Government,In Transition,In Transition,Cambodia
Cambodian Angkor Ganesh Stone Statue,Thailand,Cambodia,Object(s) relinquished,2002,2002,Private Negotiation,Public: Government,Public: Government,In Transition,In Transition,Cambodia
Cambodian Angkor Stone Buddha Statue,Thailand,Cambodia,Object(s) relinquished,2002,2002,Private Negotiation,Public: Government,Public: Government,In Transition,In Transition,Cambodia
Chinese Bronze Bell From The Palace Of Good Harvest,India,China,Object(s) relinquished,1995,1995,Sua sponte donation,Public: Government,Public: Government,In Transition,In Transition,China
Indian Bronze Siva Naratja From Arul Thiru Viswanathaswamy Temple,United Kingdom,India,Object(s) relinquished,1979,1988,Litigation,Private: Company,Public: Government,Developed,In Transition,India
Chinese Bronze And Gold Buddha From Forbidden City In Beijing,Namibia,China,Object(s) not relinquished,2003,,Inquiry/Demand,Public: Government,Public: Government,In Transition,In Transition,China
Chinese Houma Bronze Urn,Namibia,China,Object(s) not relinquished,1995,,Inquiry/Demand,Public: Government,Public: Government,In Transition,In Transition,China
Chinese Yuanmingyuan White Jade Imperial Seal,France,China,Object(s) not relinquished,2009,2014,Inquiry/Demand,Public: Government,Public: Government,Developed,In Transition,China
Italian Pompeii Column Krater,United States,Italy,Object(s) relinquished,1997,2009,Litigation,Public: Government,Public: Government,Developed,Developed,Italy
11 German Oil Paintings,United States,Germany,Object(s) relinquished,2006,2006,Action by Respondent's Govt.,Private: Individual,Public: Government,Developed,Developed,
3 Malian Bronze Bracelets,,Mali,Object(s) relinquished,2000,2009,Sua sponte donation,Public: Institution,Public: Government,Developing,Developing,Mali
Benin Commemorative Head Of A Queen Mother,United States,Nigeria,Object(s) not relinquished,2008,,Inquiry/Demand,Public: Institution,Public: Institution,Developed,In Transition,Benin
Benin Bronze II,United States,Nigeria,Object(s) not relinquished,2008,,Inquiry/Demand,Public: Institution,Public: Institution,Developed,In Transition,Benin
Kenyan Vigango,United States,Kenya,Object(s) relinquished,2007,2007,Sua sponte donation,Private: Individual,Public: Government,Developed,In Transition,Kenya
Kenyan Kigango For Mwakiru's Dead Brothers,United States,Kenya,Object(s) relinquished,1985,2006,Inquiry/Demand,Public: Institution,Public: Government,Developed,In Transition,Kenya
"The Fishmarket, Monotype Print",United States,France,Object(s) relinquished,2003,2012,Litigation,Public: Government,Public: Institution,Developed,Developed,France
French Fisherman's Daughter Oil Painting,United States,France,Object(s) relinquished,2010,2011,Litigation,Public: Government,Public: Institution,Developed,Developed,France
"The Hunt, Oil Painting",United States,Poland,Object(s) relinquished,2006,2011,Litigation,Public: Government,Public: Institution,Developed,Developed,Poland
Polish Off To The Hunt Oil Painting,United States,Poland,Object(s) relinquished,2006,2011,Litigation,Public: Government,Public: Institution,Developed,Developed,Poland
French Banchisseuses Souffrant Des Dents,United States,France,Object(s) relinquished,2010,2011,Litigation,Public: Government,Public: Institution,Developed,Developed,France
Italian Doman And Baronage Of Venafro,United States,Italy,Object(s) relinquished,2009,2010,Sua sponte donation,Public: Government,Public: Government,Developed,Developed,Italy
Horse With Riders Sculptures From Chinese Tomb,United States,China,Object(s) relinquished,2011,2011,Sua sponte donation,Public: Government,Public: Government,Developed,In Transition,China
Limestone Buddha From Northern Chinese Temple,United States,China,Object(s) relinquished,2011,2011,Sua sponte donation,Public: Government,Public: Government,Developed,In Transition,China
Terracotta Horse Sculptures From Northern Chinese Temple,United States,China,Object(s) relinquished,2011,2011,Sua sponte donation,Public: Government,Public: Government,Developed,In Transition,China
Chinese Bodhisattva Head Sculpture,United States,China,Object(s) relinquished,2011,2011,Sua sponte donation,Public: Government,Public: Government,Developed,In Transition,China
Chinese Ming Dynasty Stone Frieze,United States,China,Object(s) relinquished,2011,2011,Sua sponte donation,Public: Government,Public: Government,Developed,In Transition,China
Chinese Qing Dynasty Ceramic Base,United States,China,Object(s) relinquished,2011,2011,Sua sponte donation,Public: Government,Public: Government,Developed,In Transition,China
Chinese Paleovertebrate Fossils,United States,China,Object(s) relinquished,2009,2009,Sua sponte donation,Public: Government,Public: Government,Developed,In Transition,China
Cambodian Bronze Jewelry,Australia,Cambodia,Object(s) relinquished,2011,2011,Sua sponte donation,Private: Institution,Public: Government,Developed,In Transition,Cambodia
Ancient Korean Illustrated Royal Uigwe Manuals,France,South Korea,Unresolved,1977,2011,Private Negotiation,Public: Government,Public: Government,Developed,Developed,South Korea
Group Of Chinese Artifacts,United States,China,Object(s) relinquished,2011,2011,Sua sponte donation,Public: Government,Public: Government,Developed,In Transition,China
"Cambodian Angkor Watt Temple Relief, Buckle, Bronze Leaf And Sculpture",United States,Cambodia,Object(s) relinquished,2010,2010,Sua sponte donation,Private: Individual,Public: Government,Developed,In Transition,Cambodia
Cambodian Head of Shiva Statue,United States,Cambodia,Object(s) relinquished,1997,1997,Sua sponte donation,Private: Institution,Public: Government,Developed,In Transition,Cambodia
Cambodian Fragments Of Krishna Statue,United States,Cambodia,Object(s) relinquished,2006,2006,Sua sponte donation,Private: Institution,Public: Government,Developed,In Transition,Cambodia
Group Of Chinese Art Objects And Marble Columns,Norway,China,Object(s) relinquished,2014,2014,Private Negotiation,Public: Institution,Public: Institution,Developed,In Transition,
"23,000 Chinese Artifacts",United Kingdom,China,Object(s) not relinquished,2009,,Inquiry/Demand,Public: Institution,Public: Government,Developed,In Transition,China
Cambodian Prasat Chen Statue Of Hanuman,United States,Cambodia,Object(s) not relinquished,2013,,Inquiry/Demand,Private: Institution,Public: Government,Developed,In Transition,Cambodia
Cambodian Prasat Chen Statue Of Bhima,United States,Cambodia,Object(s) relinquished,2014,2014,Sua sponte donation,Private: Institution,Public: Government,Developed,In Transition,Cambodia
Cambodian Prasat Chen Statue Of Balarama,United States,Cambodia,Object(s) relinquished,2014,2014,Sua sponte donation,Private: Institution,Public: Government,Developed,In Transition,Cambodia
Cambodian Prasat Chen Statues oO Kneeling Attendants,United States,Cambodia,Object(s) relinquished,2012,2013,Private Negotiation,Private: Institution,Public: Government,Developed,In Transition,Cambodia
Thai Reclining Vishnu And Lintel From Temple Of Phnom Rung,United States,Thailand,Object(s) relinquished,1988,1988,Private Negotiation,Private: Institution,Public: Government,Developed,In Transition,Thailand
Chinese Marble Wall Relief From The Tomb Of Wang Chuzhi,United States,China,Object(s) relinquished,2000,2001,Litigation,Private: Institution,Public: Government,Developed,In Transition,China
1200 South Korean Books,Japan,South Korea,Object(s) relinquished,2011,2011,Private Negotiation,Public: Government,Public: Government,Developed,Developed,South Korea
Korean Gyujanggak Library 167 Uigwe,Japan,South Korea,Object(s) relinquished,2008,2011,Private Negotiation,Public: Government,Public: Government,Developed,Developed,South Korea
Korean Gyujanggak Library 938 Books,Japan,South Korea,Object(s) relinquished,2011,2011,Private Negotiation,Public: Government,Public: Government,Developed,Developed,South Korea
Japanese Scroll Of Amida Triad,South Korea,Japan,Object(s) not relinquished,2004,,Inquiry/Demand,Private: Individual,Private: Institution,Developed,Developed,Japan
9 Japanese Vases,South Korea,Japan,Object(s) relinquished,1990,1991,Private Negotiation,Private: Individual,Private: Individual,Developed,Developed,Japan
Japanese Kaijin Shrine Tathagata Buddha,South Korea,Japan,Object(s) not relinquished,2013,,Inquiry/Demand,Public: Government,Public: Government,Developed,Developed,Japan
Japanese Kanzeon Bodhisattva Bronze,South Korea,Japan,Object(s) not relinquished,2013,,Inquiry/Demand,Public: Government,Public: Government,Developed,Developed,Japan
Italian Marble Sarcophogus Lid Of A Sleeping Woman,United States,Italy,Object(s) not relinquished,2014,,Inquiry/Demand,Public: Government,Public: Government,Developed,Developed,Italy
Oil painting by Johann Conrad Seekatz: Saint Philip Baptizing a Servant of Queen Kandaki,United Kingdom,Poland,Object(s) relinquished,2008,2014,Action by Respondent's Govt.,Private: Company,Public: Government,Developed,Developed,Poland
546 Ancient Bulgarian Coins,United States,Bulgaria,Object(s) relinquished,2011,2013,Litigation,Public: Government,Public: Government,Developed,In Transition,Bulgaria
Spanish St. Ramon Tapestry,United States,Spain,Object(s) relinquished,2010,2013,Litigation,Public: Government,Public: Government,Developed,Developed,Spain
Rheinsburg Painting,United States,Germany,Object(s) relinquished,2010,2012,Litigation,Public: Government,Public: Government,Developed,Developed,Germany
Korean Ogura Collection Of Military Artifacts And Jewelry,Japan,South Korea,Object(s) not relinquished,1945,,Inquiry/Demand,Public: Government,Public: Government,Developed,Developed,South Korea
Korean Odaesan Annals,Japan,South Korea,Object(s) relinquished,2006,2006,Private Negotiation,Public: Government,Public: Government,Developed,Developed,South Korea
Nigerian Monoliths,France,Nigeria,Object(s) relinquished,2004,2010,Inquiry/Demand,Public: Government,Public: Government,Developed,In Transition,Nigeria
Korean Daejeon Hoetong,Japan,South Korea,Object(s) relinquished,2011,2011,Private Negotiation,Public: Government,Public: Government,Developed,Developed,South Korea
Nigerian Nok Terracotta Figurines,United States,Nigeria,Object(s) relinquished,,2012,Inquiry/Demand,Private: Individual,Public: Government,Developed,In Transition,
99 volumes of Korean Munhonbigo (encyclopedia),Japan,South Korea,Object(s) relinquished,2011,2011,Private Negotiation,Public: Government,Public: Government,Developed,Developed,
Namibian Ombalantu Ritual Stone,Finland,Namibia,Object(s) relinquished,1998,2014,Inquiry/Demand,Public: Government,Public: Government,Developed,In Transition,Namibia
Korean Gyujanggak Library Royal Books,Japan,South Korea,Object(s) relinquished,1965,1965,Private Negotiation,Public: Government,Public: Government,Developed,Developed,South Korea
Korean Queen Munjeong Golden Turtle Seal,United States,South Korea,Object(s) not relinquished,2012,,Inquiry/Demand,Private: Institution,Public: Government,Developed,Developed,South Korea
Korean Sakyamuni Triad Painting,United States,South Korea,Object(s) relinquished,2013,2013,Private Negotiation,Private: Institution,Public: Government,Developed,Developed,South Korea
"Group Of Neo-Assyrin, Babylonian, Sumerian, Roman And Modern Objects",United States,Iraq,Object(s) relinquished,2003,2010,Inquiry/Demand,Public: Government,Public: Government,Developed,In Transition,Iraq
Indian Bodhisattva Black Sandstone Sculpture,United States,India,Object(s) relinquished,2010,2014,Inquiry/Demand,Public: Government,Public: Government,Developed,In Transition,India
8 Iraqi Ancient Stone Seals,United States,Iraq,Object(s) relinquished,2005,2005,Sua sponte donation,Private: Individual,Public: Government,Developed,In Transition,Iraq
Afghan Cultural Items,United Kingdom,Afghanistan,Object(s) relinquished,2009,2009,Inquiry/Demand,Public: Government,Public: Institution,Developed,In Transition,Afghanistan
Group Of Afghan Cultural Items,United States,Afghanistan,Object(s) relinquished,2011,2013,Inquiry/Demand,Public: Government,Public: Government,Developed,In Transition,Afghanistan
Afghan Bactrian Weapon Fragments,United States,Afghanistan,Object(s) relinquished,2005,2008,Inquiry/Demand,Public: Government,Public: Government,Developed,In Transition,Afghanistan
"1,046 Iraqi Antiquities",United States,Iraq,Object(s) relinquished,2001,2008,Action by Respondent's Govt.,Public: Government,Public: Government,Developed,Developing,Iraq
"10,000 Iraqi Cuneiform Tablets",United States,Iraq,Object(s) not relinquished,2012,2013,Inquiry/Demand,Private: Institution,Public: Government,Developed,In Transition,
"Iraqi Pottery, Vases, Oil Lamp, Statues And Terracotta Plaques",United States,Iraq,Object(s) relinquished,2006,2011,Inquiry/Demand,Private: Company,Public: Government,Developed,In Transition,Iraq
Religious Italian Text From Turin Archdiocese Archives,United States,Italy,Object(s) relinquished,2012,2014,Inquiry/Demand,Private: Individual,Public: Institution,Developed,Developed,Italy
9 Korean Royal Seals,United States,South Korea,Object(s) relinquished,2013,2014,Inquiry/Demand,Private: Individual,Public: Government,Developed,Developed,South Korea
Turkish Old Fisherman From Aphrodisias Marble Torso And Medieval Tomb Niche,Germany,Turkey,Object(s) not relinquished,2012,,Private Negotiation,Public: Institution,Public: Government,Developed,Developed,Turkey
Turkish Sion Treasure Liturgical Objects,United States,Turkey,Object(s) not relinquished,2012,,Inquiry/Demand,Private: Institution,Public: Government,Developed,Developed,Turkey
"Turkish Cycladic Stargazer, Ottoman Ceramics, Bronze And Marbles",United States,Turkey,Object(s) not relinquished,2012,,Inquiry/Demand,Public: Institution,Public: Government,Developed,Developed,Turkey
Turkish Samsat Stele,United Kingdom,Turkey,Object(s) not relinquished,2012,,Inquiry/Demand,Public: Institution,Public: Government,Developed,Developed,Turkey
Greek Monastery Of Dionyiou Illuminated Manuscript,United States,Greece,Object(s) relinquished,2014,2014,Private Negotiation,Private: Institution,Public: Government,Developed,Developed,Greece
Nepalese Nasamna Tole Statues Of Uma-Maheshowor And Vishnu,France,Nepal,Object(s) relinquished,2014,2014,Inquiry/Demand,Public: Institution,Public: Government,Developed,Developing,Nepal
Cache Of Islamic Gold Coins,United States,Syria,Object(s) relinquished,2014,2014,Inquiry/Demand,Private: Company,Public: Government,In Transition,In Transition,Syria
Hungarian Late Roman Empire Sevso Treasure Silver Plates And Platters,United Kingdom,Hungary,Object(s) relinquished,1980,2014,,Private: Individual,Public: Government,Developed,Developed,Hungary
69 Ancient Iraqi Artifacts,Netherlands,Iraq,Object(s) relinquished,2003,2009,Inquiry/Demand,Public: Government,Public: Government,Developed,In Transition,Iraq
Greenlandic Watercolor Paintings,Denmark,Greenland,Object(s) relinquished,1913,1982,Private Negotiation,Public: Institution,Public: Institution,Developed,Developed,Greenland
"35,000 Greenlandic Archaeological And Ethnographic Artifacts",Denmark,Greenland,Object(s) relinquished,1913,1984,Private Negotiation,Public: Institution,Public: Institution,Developed,Developed,
Zimbabwean Stone Bird Lower Half,Germany,Zimbabwe,Object(s) relinquished,1999,2004,Sua sponte donation,Public: Institution,Public: Government,Developed,In Transition,
Iranian Persepolis Achaemenid Limestone Relief,France,Iran,Object(s) not relinquished,2005,2007,Litigation,Private: Individual,Public: Government,Developed,In Transition,Iran
Italian Cerveteri Kylix With Trojan War Imagery,United States,Italy,Object(s) relinquished,1999,1999,Sua sponte donation,Private: Institution,Public: Government,Developed,Developed,Italy
Egyptian Pharonic Statue Of Man In Headdress Holding Shrine To Osiris,Belgium,Egypt,Object(s) relinquished,2014,2014,Sua sponte donation,Private: Individual,Public: Institution,Developed,In Transition,Egypt
Egyptian Panel Of Man In Headdress Holding Shrine To Osiris,United States,Egypt,Object(s) not relinquished,2013,,Inquiry/Demand,Private: Institution,Public: Institution,Developed,In Transition,Egypt
Zunian Religious Artifacts II,France,,Object(s) not relinquished,1978,,Inquiry/Demand,Public: Institution,Private: Institution,Developed,Developed,
Indigenous Zunian Religious Artifacts,Netherlands,United States Tribal Nations,Object(s) not relinquished,1978,,Inquiry/Demand,Public: Institution,Private: Institution,Developed,Developed,United States Tribal Nations
Iraqi Jewish Antiquities,Iraq,United States,Object(s) not relinquished,2003,2014,Litigation,Public: Government,Public: Government,In Transition,Developed,Iraq
Iraqi Group of Antiquities,Syria,Iraq,Object(s) relinquished,2003,2008,Inquiry/Demand,Public: Government,Public: Government,In Transition,In Transition,Iraq
Iraqi Group Of Antiquities Via Jordan,Jordan,Iraq,Object(s) relinquished,2003,2004,Sua sponte donation,Public: Government,Public: Government,In Transition,In Transition,Iraq
Iraqi Group Of Antiquities Via France,France,Iraq,Object(s) relinquished,2003,2004,Sua sponte donation,Public: Government,Public: Government,Developed,In Transition,Iraq
Iraqi Group Of Antiquities Via Switzerland,Switzerland,Iraq,Object(s) relinquished,2003,2004,Sua sponte donation,Public: Government,Public: Government,Developed,In Transition,Iraq
Iraqi Ceremonial Sword,United States,Iraq,Object(s) relinquished,2003,2013,Inquiry/Demand,Private: Individual,Public: Government,Developed,In Transition,Iraq
Iraqi Saddam Era Weapons And Paintings,United States,Iraq,Object(s) relinquished,2003,2011,Inquiry/Demand,Private: Individual,Public: Government,Developed,In Transition,Iraq
Iraqi Cornelian And Lapis Lazuli Gold Bead Neckace,,Iraq,Object(s) relinquished,2007,2011,Inquiry/Demand,,Public: Government,,In Transition,Iraq
Group Of Iraqi Saddam Military And Architectural Objects,United States,Iraq,Object(s) relinquished,2010,2011,Inquiry/Demand,Private: Individual,Public: Government,Developed,In Transition,Iraq
Iraqi Gold Vessel From Ur,Germany,Iraq,Object(s) not relinquished,2004,2009,Litigation,Private: Institution,Public: Government,Developed,In Transition,Iraq
Iraqi Mesopotamian Artifacts,Germany,Iraq,Object(s) not relinquished,2009,,Litigation,,Public: Government,Developed,In Transition,Iraq
18 Iraqi Artifacts,Saudi Arabia,Iraq,Object(s) relinquished,2003,2008,Inquiry/Demand,Public: Government,Public: Government,Developed,In Transition,Iraq
Turkish Coin Group,United States,Turkey,Object(s) relinquished,1989,1999,Litigation,Private: Company,Public: Government,Developed,Developed,Turkey
Turkish Floral Ceramic Tiles From Tomb Of Sultan Selim II,France,Turkey,Object(s) not relinquished,2007,,Inquiry/Demand,Public: Institution,Public: Government,Developed,Developed,Turkey
Turkish Hattusa Sphinx Statue,Germany,Turkey,Object(s) relinquished,2011,2011,Private Negotiation,Public: Institution,Public: Government,Developed,Developed,Turkey
14 Italian Antiquities,United States,Italy,Object(s) relinquished,2007,2009,Private Negotiation,Public: Institution,Public: Government,Developed,Developed,Italy
Euphronios Krater,United States,Italy,Object(s) relinquished,1973,2008,Private Negotiation,Public: Institution,Public: Government,Developed,Developed,Italy
Turkish Lydian Hoard,United States,Turkey,Object(s) relinquished,1984,1993,Litigation,Private: Institution,Public: Government,Developed,Developed,Turkey
Ancient Mexican Teotihuacan Murals,United States,Mexico,Object(s) relinquished,1978,1986,Private Negotiation,Public: Institution,Public: Government,Developed,In Transition,Mexico
Turkish Trojan Early Bronze Material,United States,Turkey,Object(s) relinquished,2009,2012,Private Negotiation,Public: Institution,Public: Government,Developed,Developed,
Turkish Edessa Mosaic Of Orpheus,United States,Turkey,Object(s) relinquished,2012,2012,Private Negotiation,Public: Institution,Public: Government,Developed,Developed,Turkey
Italian Kalpis Water Vessel Of Dionysus,United States,Italy,Object(s) relinquished,2012,2013,Litigation,Public: Institution,Public: Government,Developed,Developed,Italy
Hopi Katsinam Masks,France,United States Tribal Nations,Object(s) not relinquished,2013,2013,Litigation,Private: Company,Private: Institution,Developed,Developed,United States Tribal Nations
Cypriot Frescos From Church Of Euphemianos,United States,Cyprus,Object(s) relinquished,1984,2011,Private Negotiation,Private: Institution,Public: Institution,Developed,Developed,Cyprus
Italian Hadrian's Villa Vases And Statuary,United States,Italy,Object(s) relinquished,2006,2006,Private Negotiation,Private: Institution,Public: Government,Developed,Developed,Italy
Kenyan Totems From Graves,United States,Kenya,Object(s) relinquished,2014,2014,Sua sponte donation,Public: Institution,Public: Government,Developed,In Transition,Kenya
Italian Antiquities From The Collection Of Robin Symes,United Kingdom,Italy,Object(s) not relinquished,2012,,Inquiry/Demand,Private: Company,Public: Government,Developed,Developed,Italy
24 Katsinam Masks,France,United States,Object(s) not relinquished,2013,,Sua sponte donation,Private: Company,Public: Government,Developed,Developed,
Cambodian Duryodhana Statue Of Koh Ker,United States,Cambodia,Object(s) relinquished,2011,2013,Litigation,Private: Company,Public: Government,Developed,In Transition,Cambodia
Egyptian Funerary Mask Of Ka-nefer-nefer II,United States,Egypt,Object(s) not relinquished,2011,2014,Litigation,Public: Institution,Public: Government,Developed,In Transition,Egypt
Australian Carrolup River Settlement Landscape Paintings,United States,Australia,Object(s) relinquished,2013,2013,Sua sponte donation,Private: Institution,Public: Institution,Developed,Developed,Australia
Italian Statue Of Fertility Goddess Aphrodite,United States,Italy,Object(s) relinquished,2001,2007,Private Negotiation,Private: Institution,Public: Government,Developed,Developed,Italy
Indian Sivapuram Nataraja Bronze Statue,United States,India,Object(s) relinquished,1973,1976,Litigation,Public: Institution,Public: Government,Developed,In Transition,India
Benin Bronze Sculptures,United Kingdom,Nigeria,Object(s) not relinquished,2002,,,Public: Institution,Public: Government,Developed,Developing,Benin
Scottish Lewis Chessmen Set,United Kingdom,Scotland,Object(s) not relinquished,2008,,,Public: Institution,Public: Government,Developed,Developed,Scotland
Iranian Silver Griffin Drinking Cup,United States,Iran,Object(s) relinquished,2003,2013,Sua sponte donation,Public: Government,Public: Government,Developed,Developed,Iran
Russian Danilov Bells,United States,Russia,Object(s) relinquished,2008,2008,Private Negotiation,Private: Institution,Public: Government,Developed,Developed,Russia
"1,784 Achaemenid Persepolis Fortification Tablets",United States,Iran,Object(s) relinquished,,2019,Litigation,Private: Institution,Public: Government,Developed,Developing,Iran
Indigenous Bear Song Leader's Staff,United States,United States Tribal Nations,Object(s) relinquished,2014,2014,Private Negotiation,Public: Institution,,Developed,Developing,United States Tribal Nations
Indian Gadgach Temple Vishnu And Lakshmi Sandstone Sculptures,United States,India,Object(s) relinquished,2009,2014,,Public: Government,Public: Government,Developed,In Transition,India
700 Iranian Bronze Items And 400 Persian Paintings,Russia,Iran,Object(s) not relinquished,2004,,Private Negotiation,Public: Institution,Public: Government,Developed,Developed,Iran
WWII Soviet Seized 600 Bronze Items,Russia,Germany,Object(s) not relinquished,2013,,Inquiry/Demand,Public: Institution,Public: Government,Developed,Developed,
Malian Djenne Terracotta Ojects,United States,Mali,Object(s) relinquished,2013,2022,Coordinated action by Complainant &amp; Respondent Governments,Public: Institution,Public: Government,Developed,In Transition,Mali
Peruvian Machu Picchu Artifacts,United States,Peru,Object(s) relinquished,1918,2010,Litigation,Private: Institution,Public: Government,Developed,In Transition,Peru
Italian Sarcophagus,Italy,United States,Object(s) not relinquished,2014,,Litigation,Public: Government,Public: Government,Developed,Developed,Italy
Group Of Ancient Chinese Artifacts,United States,United States,Object(s) relinquished,2011,2013,Litigation,Private: Institution,Public: Government,Developed,Developed,China
Nigerian Nok Terracotta,France,Nigeria,Object(s) not relinquished,1998,,Private Negotiation,Public: Government,Public: Government,Developed,Developing,Nigeria
Libyan Venus Of Cyrene Marble Statue,Italy,Libya,Object(s) relinquished,1989,2008,Litigation,Public: Government,Public: Government,Developed,Developed,
Thai Duryodhan,United States,United States,Object(s) relinquished,2011,2013,Sua sponte donation,Private: Company,Public: Government,Developed,Developed,Thailand
Cambodian Pongpat Trove Antiquities,Thailand,Cambodia,Object(s) relinquished,1999,2015,Sua sponte donation,Public: Government,Public: Government,In Transition,Developing,Cambodia
"Iraqi Cuneiform Tablets, Seals And Amulets",United States,Iraq,Object(s) relinquished,2001,2008,Sua sponte donation,Private: Company,Public: Government,Developed,In Transition,Iraq
Greek Vibia Sabina Statue,United States,Italy,Object(s) relinquished,1995,2006,Private Negotiation,Private: Institution,Public: Government,Developed,Developed,Greece
Italian Ceramics And Writings,United States,United States,Object(s) relinquished,2007,2007,,Private: Individual,Public: Government,Developed,Developed,Italy
Egyptian Ka-Nefer-Nefer Mask,United States,United States,Object(s) not relinquished,2012,2014,Litigation,Private: Institution,Public: Government,Developed,Developed,Egypt
Chinese Yuanmingyuan Bronze Relics,United Kingdom,China,Some objects relinquished,2003,2013,Sua sponte donation,Private: Institution,Public: Government,Developed,In Transition,China
Thai Ban Chiang Artifacts,United States,United States,Some objects relinquished,2003,2008,Sua sponte donation,Private: Individual,Public: Government,Developed,Developed,Thailand
Peruvian Moche Artifacts,United States,Peru,Object(s) not relinquished,1989,2011,Litigation,Private: Individual,Public: Government,Developed,In Transition,Peru
Indian Tamil Nadu Bronze Shiva Nataraja,Australia,India,Object(s) relinquished,2011,2014,Sua sponte donation,Public: Government,Public: Government,Developed,In Transition,India
Anasazi Burial Blanket,United States,United States,Object(s) relinquished,1994,1997,Litigation,Public: Government,Public: Government,Developed,Developed,United States
Sicilian Gold Phiale Mesomphalos,United States,United States,Object(s) relinquished,1995,1999,Litigation,Private: Individual,Public: Government,Developed,In Transition,Italy
Greek Hermes Marble Statue Head,United Kingdom,Greece,Object(s) relinquished,2014,2015,Sua sponte donation,Private: Institution,Public: Government,Developed,Developed,Greece
Turkish Perge Weary Herakles,United States,Turkey,Object(s) relinquished,1990,2011,Private Negotiation,Public: Institution,Public: Government,Developed,Developed,Turkey
Italian Rutigliano Volute Krater,United States,Italy,Object(s) relinquished,2005,2011,Inquiry/Demand,Public: Institution,Public: Government,Developed,Developed,Italy
Indigenous Kaats And Brown Bear Totem Pole,United States,,Object(s) relinquished,1999,2001,Private Negotiation,Private: Institution,,Developed,,United States
Icelandic Arnamagnæan Manuscript Collection,Denmark,Iceland,Object(s) relinquished,1830,1997,Private Negotiation,Public: Government,Public: Government,Developed,Developed,
Indian Chola Bronze,United States,India,Object(s) relinquished,2015,2015,Inquiry/Demand,,,Developed,In Transition,India
